date,ticker,price,decision,rsi,sentiment,reason
2025-12-19,ADA-USDT,0.3767,hold,38.54507011226941,POSITIVE,"Neutral (score=25)"
2025-12-19,BNB-USDT,856.17,hold,43.52855785662722,POSITIVE,"Neutral (score=10)"
2025-12-19,BTC-USDT,88136.94,hold,44.70169896522725,POSITIVE,"Neutral (score=10)"
2025-12-19,DOGE-USDT,0.13222,hold,42.70274712678156,POSITIVE,"Neutral (score=10)"
2025-12-19,DOT-USDT,1.849,buy,32.92069773635776,POSITIVE,"Strong signal (score=45)"
2025-12-19,ETH-USDT,2979.5,hold,46.605432659781634,POSITIVE,"Neutral (score=10)"
2025-12-19,LTC-USDT,77.49,hold,38.92569423761791,POSITIVE,"Neutral (score=25)"
2025-12-19,SOL-USDT,126.27,hold,43.89103853306418,POSITIVE,"Neutral (score=10)"
2025-12-19,XRP-USDT,1.9092,hold,40.946291827287325,POSITIVE,"Neutral (score=10)"
2025-12-20,ADA-USDT,0.373,hold,37.83520634096814,NEGATIVE,"Neutral (score=-20)"
2025-12-20,BNB-USDT,854.17,sell,43.147198753135854,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-20,BTC-USDT,88360.9,sell,45.309904567946205,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-20,DOGE-USDT,0.13194,sell,42.508147874978654,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-20,DOT-USDT,1.832,hold,32.3626266107489,NEGATIVE,"Neutral (score=0)"
2025-12-20,ETH-USDT,2977.93,sell,46.53417109820499,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-20,LTC-USDT,77.84,hold,39.68465408838745,NEGATIVE,"Neutral (score=-20)"
2025-12-20,SOL-USDT,125.81,sell,43.46993875408932,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-20,XRP-USDT,1.9335,sell,42.916330003774455,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-21,ADA-USDT,0.3662,buy,36.50461167842407,POSITIVE,"Strong signal (score=45)"
2025-12-21,BNB-USDT,858.64,hold,44.321314793647545,POSITIVE,"Neutral (score=10)"
2025-12-21,BTC-USDT,88658.86,hold,46.15836012242394,POSITIVE,"Neutral (score=10)"
2025-12-21,DOGE-USDT,0.13112,hold,41.90586479406625,POSITIVE,"Neutral (score=10)"
2025-12-21,DOT-USDT,1.802,buy,31.35255880391326,POSITIVE,"Strong signal (score=45)"
2025-12-21,ETH-USDT,3002.02,hold,47.85176103377846,POSITIVE,"Neutral (score=10)"
2025-12-21,LTC-USDT,76.79,hold,38.15288403800872,POSITIVE,"Neutral (score=25)"
2025-12-21,SOL-USDT,126.03,hold,43.74790839384581,POSITIVE,"Neutral (score=10)"
2025-12-21,XRP-USDT,1.9223,hold,42.217270645784126,POSITIVE,"Neutral (score=10)"
2025-12-22,ADA-USDT,0.3711,hold,38.19143721117231,POSITIVE,"Neutral (score=25)"
2025-12-22,BNB-USDT,858.66,hold,44.3268548230036,POSITIVE,"Neutral (score=10)"
2025-12-22,BTC-USDT,88620.79,hold,46.06003730924369,POSITIVE,"Neutral (score=10)"
2025-12-22,DOGE-USDT,0.13258,buy,43.442402149136775,POSITIVE,"Strong signal (score=40)"
2025-12-22,DOT-USDT,1.784,buy,30.732769049227244,POSITIVE,"Strong signal (score=45)"
2025-12-22,ETH-USDT,3009.49,hold,48.277411099216565,POSITIVE,"Neutral (score=10)"
2025-12-22,LTC-USDT,77.05,hold,38.78298746067379,POSITIVE,"Neutral (score=25)"
2025-12-22,SOL-USDT,125.93,hold,43.64285910784857,POSITIVE,"Neutral (score=10)"
2025-12-22,XRP-USDT,1.9043,hold,41.05970282520593,POSITIVE,"Neutral (score=10)"
2025-12-23,ADA-USDT,0.3628,hold,36.42617878537081,NEGATIVE,"Neutral (score=-20)"
2025-12-23,BNB-USDT,844.3,hold,41.16013925084488,NEGATIVE,"Neutral (score=-15)"
2025-12-23,BTC-USDT,87486,sell,43.112086239933014,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-23,DOGE-USDT,0.12928,hold,40.81471664622361,NEGATIVE,"Neutral (score=-5)"
2025-12-23,DOT-USDT,1.765,hold,30.057327846709896,NEGATIVE,"Neutral (score=0)"
2025-12-23,ETH-USDT,2965.02,sell,45.87671818107387,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-23,LTC-USDT,77.01,hold,38.71763340912483,NEGATIVE,"Neutral (score=10)"
2025-12-23,SOL-USDT,124.01,sell,41.578476031424266,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-23,XRP-USDT,1.8734,hold,39.078778302058396,NEGATIVE,"Neutral (score=0)"
2025-12-24,ADA-USDT,0.3566,buy,35.12031182227215,POSITIVE,"Strong signal (score=45)"
2025-12-24,BNB-USDT,846.58,hold,41.87021704621486,POSITIVE,"Neutral (score=10)"
2025-12-24,BTC-USDT,87669.45,hold,43.73897505962359,POSITIVE,"Neutral (score=10)"
2025-12-24,DOGE-USDT,0.12856,buy,40.24277630781332,POSITIVE,"Strong signal (score=40)"
2025-12-24,DOT-USDT,1.738,buy,29.079270736582743,POSITIVE,"Strong signal (score=45)"
2025-12-24,ETH-USDT,2947.47,hold,44.92721417123632,POSITIVE,"Neutral (score=10)"
2025-12-24,LTC-USDT,75.79,buy,36.68701572020282,POSITIVE,"Strong signal (score=55)"
2025-12-24,SOL-USDT,122.53,hold,40.00752046262813,POSITIVE,"Neutral (score=30)"
2025-12-24,XRP-USDT,1.8628,buy,38.39446835300191,POSITIVE,"Strong signal (score=45)"
2025-12-25,ADA-USDT,0.3434,hold,32.45281097925734,NEGATIVE,"Neutral (score=0)"
2025-12-25,BNB-USDT,829.64,hold,38.18324091614682,NEGATIVE,"Neutral (score=0)"
2025-12-25,BTC-USDT,87225.27,sell,42.51728235229073,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-25,DOGE-USDT,0.12365,hold,36.48773650914301,NEGATIVE,"Neutral (score=0)"
2025-12-25,DOT-USDT,1.685,hold,27.20771524414226,NEGATIVE,"Neutral (score=0)"
2025-12-25,ETH-USDT,2903.95,sell,42.57408261372775,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-25,LTC-USDT,75.71,hold,36.55163991029832,NEGATIVE,"Neutral (score=10)"
2025-12-25,SOL-USDT,120.06,hold,37.46348351903773,NEGATIVE,"Neutral (score=0)"
2025-12-25,XRP-USDT,1.8326,hold,36.43680536589761,NEGATIVE,"Neutral (score=0)"
2025-12-26,ADA-USDT,0.3496,hold,34.95190849495627,POSITIVE,"Neutral (score=25)"
2025-12-26,BNB-USDT,834.72,buy,39.89257987622124,POSITIVE,"Strong signal (score=45)"
2025-12-26,BTC-USDT,87369.56,hold,43.07353172912284,POSITIVE,"Neutral (score=10)"
2025-12-26,DOGE-USDT,0.12211,buy,35.37287510054461,POSITIVE,"Strong signal (score=45)"
2025-12-26,DOT-USDT,1.723,buy,30.65386290354663,POSITIVE,"Strong signal (score=55)"
2025-12-26,ETH-USDT,2927.99,hold,44.30928358866052,POSITIVE,"Neutral (score=10)"
2025-12-26,LTC-USDT,76.87,buy,40.00841936714807,POSITIVE,"Strong signal (score=40)"
2025-12-26,SOL-USDT,122.26,hold,41.05859742349554,POSITIVE,"Neutral (score=10)"
2025-12-26,XRP-USDT,1.8437,hold,37.69427624399512,POSITIVE,"Neutral (score=25)"
2025-12-27,ADA-USDT,0.37,sell,42.491243795663095,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-27,BNB-USDT,845.04,sell,43.321377958317186,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-27,BTC-USDT,87877.01,sell,45.08612511797914,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-27,DOGE-USDT,0.12435,hold,38.32474293425069,NEGATIVE,"Neutral (score=-20)"
2025-12-27,DOT-USDT,1.91,hold,44.56276334527729,NEGATIVE,"Neutral (score=-5)"
2025-12-27,ETH-USDT,2949.05,sell,45.852852457895,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-27,LTC-USDT,80.33,hold,48.943616045937546,NEGATIVE,"Neutral (score=-5)"
2025-12-27,SOL-USDT,124.73,sell,44.88926221420802,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-27,XRP-USDT,1.8735,sell,41.06514914021548,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-28,ADA-USDT,0.3688,hold,42.18153280415926,NEGATIVE,"Neutral (score=-5)"
2025-12-28,BNB-USDT,859.32,sell,47.761903379448704,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-28,BTC-USDT,87952.71,sell,45.39626062572793,NEGATIVE,"Strong sell signal (score=-35)"
2025-12-28,DOGE-USDT,0.12393,hold,37.974507423484006,NEGATIVE,"Neutral (score=-20)"
